30324,16.49,1.68
30391,16.52,1.02
30458,16.53,0.77
30524,16.53,0.73
30591,16.55,0.45
30658,16.56,0.45
30725,16.55,0.47
30792,16.55,0.46
30859,16.55,0.46
30926,16.55,0.46
30993,16.55,0.47
31059,16.56,0.47
31126,16.56,0.46
31193,16.56,0.47
31260,16.56,0.46
31327,16.56,0.47
31394,16.56,0.47
31461,16.56,0.47
31558,16.56,0.46
31593,16.55,0.56
31660,16.56,0.47
31727,16.56,0.47
31794,16.56,0.46
31861,16.56,0.46
31928,16.56,0.47
31995,16.56,0.47
32062,16.56,0.47
32128,16.56,0.46
32195,16.56,0.47
32262,16.56,0.46
32329,16.56,0.46
32396,16.56,0.46
32463,16.56,0.47
32530,16.56,0.47
32597,16.56,0.46
32664,16.56,0.47
32730,16.56,0.47
32797,16.56,0.47
32864,16.56,0.47
32931,16.56,0.46
32998,16.56,0.46
33065,16.56,0.47
33132,16.56,0.47
33199,16.56,0.47
33265,16.56,0.47
33332,16.56,0.47
33399,16.56,0.47
33466,16.56,0.46
33533,16.56,0.46
33600,16.56,0.47
33667,16.56,0.47
33734,16.56,0.47
33801,16.56,0.47
33867,16.56,0.47
33934,16.56,0.47
34001,16.56,0.46
34068,16.56,0.47
34135,16.56,0.47
34202,16.56,0.47
34269,16.56,0.46
34336,16.56,0.47
34403,16.56,0.45
34469,16.56,0.47
34536,16.56,0.46
34603,16.56,0.47
34670,16.56,0.47
34737,16.56,0.46
34804,16.56,0.49
34871,16.56,0.47
34938,16.56,0.47
35004,16.56,0.46
35071,16.56,0.47
35138,16.56,0.46
35205,16.56,0.47
35272,16.56,0.46
35339,16.56,0.47
35406,16.56,0.46
35473,16.56,0.47
35539,16.56,0.47
35606,16.56,0.47
35673,16.56,0.46
35740,16.56,0.47
35807,16.56,0.46
35874,16.56,0.47
35941,16.56,0.47
36008,16.56,0.47
36075,16.56,0.47
36142,16.56,0.47
36208,16.56,0.47
36275,16.56,0.47
36342,16.56,0.46
36409,16.56,0.46
36476,16.56,0.46
36543,16.56,0.47
36610,16.56,0.46
36677,16.56,0.47
36743,16.56,0.46
36810,16.56,0.50
36877,16.56,0.46
36944,16.56,0.46
37011,16.56,0.46
37078,16.56,0.46
37145,16.56,0.46
37212,16.56,0.46
37279,16.56,0.47
37345,16.56,0.46
37412,16.56,0.46
37479,16.56,0.46
37546,16.56,0.47
37613,16.56,0.47
37680,16.56,0.46
37747,16.56,0.46
