620,16.80,4.20,4.18,4.20,4.22,67.81,0.40,
687,16.80,4.20,4.18,4.20,4.22,100.85,0.41,
754,16.80,4.20,4.18,4.20,4.22,61.20,0.40,
821,16.80,4.19,4.19,4.20,4.22,61.20,0.40,
888,16.80,4.20,4.18,4.20,4.22,81.02,0.40,
955,16.80,4.20,4.18,4.20,4.22,74.42,0.40,
1021,16.80,4.20,4.18,4.20,4.22,67.81,0.40,
1088,16.80,4.20,4.18,4.20,4.22,61.20,0.40,
1155,16.80,4.20,4.18,4.20,4.22,74.42,0.40,
1222,16.80,4.20,4.18,4.20,4.22,67.81,0.40,
1289,16.80,4.20,4.18,4.20,4.22,67.81,0.40,
1356,16.80,4.20,4.18,4.20,4.22,54.59,0.39,
1423,16.80,4.20,4.18,4.20,4.22,74.42,0.40,
1490,16.80,4.20,4.18,4.20,4.22,74.42,0.40,
1556,16.80,4.20,4.18,4.20,4.22,81.02,0.40,
1623,16.80,4.19,4.19,4.20,4.22,61.20,0.40,
1690,16.80,4.20,4.18,4.20,4.22,87.63,0.41,
1757,16.80,4.20,4.18,4.20,4.22,81.02,0.40,
1824,16.80,4.20,4.18,4.20,4.22,94.24,0.41,
1891,16.80,4.20,4.18,4.20,4.22,47.99,0.39,
1958,16.80,4.20,4.18,4.20,4.22,74.42,0.40,
2025,16.80,4.20,4.18,4.20,4.22,61.20,0.40,
2092,16.80,4.20,4.18,4.20,4.22,74.42,0.40,
2159,16.80,4.20,4.18,4.20,4.22,54.59,0.39,
2225,16.80,4.20,4.18,4.20,4.22,87.63,0.41,
2292,16.80,4.20,4.18,4.20,4.22,81.02,0.40,
2360,16.80,4.20,4.18,4.20,4.22,120.67,0.42,
2426,16.80,4.20,4.18,4.20,4.22,94.24,0.41,
2493,16.80,4.20,4.18,4.20,4.22,67.81,0.40,
2560,16.80,4.19,4.19,4.20,4.22,74.42,0.40,
2627,16.80,4.20,4.18,4.20,4.22,74.42,0.40,
2694,16.80,4.20,4.18,4.20,4.22,81.02,0.40,
2761,16.80,4.20,4.18,4.20,4.22,74.42,0.40,
2827,16.80,4.19,4.19,4.20,4.22,67.81,0.40,
2894,16.80,4.20,4.18,4.20,4.22,67.81,0.40,
2961,16.80,4.20,4.18,4.20,4.22,54.59,0.39,
3028,16.80,4.20,4.18,4.20,4.22,61.20,0.40,
3095,16.80,4.20,4.18,4.20,4.22,67.81,0.40,
3162,16.80,4.20,4.18,4.20,4.22,61.20,0.40,
3229,16.80,4.20,4.18,4.20,4.22,74.42,0.40,
3296,16.80,4.20,4.18,4.20,4.22,74.42,0.40,
3363,16.80,4.20,4.18,4.20,4.22,74.42,0.40,
3429,16.80,4.20,4.18,4.20,4.22,81.02,0.40,
3496,16.80,4.20,4.18,4.20,4.22,67.81,0.40,
3563,16.80,4.20,4.18,4.20,4.22,74.42,0.40,
3630,16.80,4.20,4.18,4.20,4.22,61.20,0.40,
3697,16.80,4.20,4.18,4.20,4.22,61.20,0.40,
