3346,16.41,4.07,4.10,4.11,4.12,1.73,0.00,0.00,0.37,
3411,16.41,4.07,4.10,4.11,4.12,517.13,0.00,0.00,0.57,
3478,16.41,4.07,4.10,4.11,4.12,252.82,0.00,0.00,0.47,
3545,16.41,4.07,4.10,4.11,4.12,279.26,0.00,0.00,0.48,
3612,16.41,4.07,4.10,4.11,4.12,266.04,0.00,0.00,0.47,
3679,16.41,4.07,4.10,4.11,4.12,259.43,0.00,0.00,0.47,
3745,16.41,4.07,4.10,4.11,4.12,266.04,0.00,0.00,0.47,
3812,16.41,4.07,4.10,4.11,4.12,279.26,0.00,0.00,0.48,
3878,16.41,4.07,4.10,4.11,4.12,266.04,0.00,0.00,0.47,
3946,16.41,4.07,4.10,4.11,4.12,279.26,0.00,0.00,0.48,
4012,16.41,4.07,4.10,4.11,4.12,266.04,0.00,0.00,0.47,
4080,16.41,4.07,4.10,4.11,4.12,252.82,0.00,0.00,0.47,
4146,16.41,4.07,4.10,4.11,4.12,272.65,0.00,0.00,0.47,
4214,16.41,4.07,4.10,4.11,4.12,279.26,0.00,0.00,0.48,
4280,16.41,4.07,4.10,4.11,4.12,272.65,0.00,0.00,0.47,
4347,16.41,4.07,4.10,4.11,4.12,259.43,0.00,0.00,0.47,
4413,16.41,4.07,4.10,4.11,4.12,272.65,0.00,0.00,0.47,
4481,16.41,4.07,4.10,4.11,4.12,279.26,0.00,0.00,0.48,
4548,16.41,4.07,4.10,4.11,4.12,272.65,0.00,0.00,0.47,
4615,16.41,4.07,4.10,4.11,4.12,266.04,0.00,0.00,0.47,
4681,16.41,4.07,4.10,4.11,4.12,259.43,0.00,0.00,0.47,
4748,16.41,4.07,4.10,4.11,4.12,285.86,0.00,0.00,0.48,
4815,16.41,4.07,4.10,4.11,4.12,279.26,0.00,0.00,0.48,
4882,16.41,4.07,4.10,4.11,4.12,272.65,0.00,0.00,0.47,
4949,16.41,4.07,4.10,4.11,4.12,279.26,0.00,0.00,0.48,
5016,16.41,4.07,4.10,4.11,4.12,266.04,0.00,0.00,0.47,
5083,16.41,4.07,4.10,4.11,4.12,266.04,0.00,0.00,0.47,
5149,16.41,4.07,4.10,4.11,4.12,272.65,0.00,0.00,0.47,
5216,16.41,4.07,4.10,4.11,4.12,312.29,0.00,0.00,0.49,
5284,16.41,4.07,4.10,4.11,4.12,279.26,0.00,0.00,0.48,
5350,16.41,4.07,4.10,4.11,4.12,252.82,0.00,0.00,0.47,
5418,16.41,4.07,4.10,4.11,4.12,259.43,0.00,0.00,0.47,
5484,16.41,4.07,4.10,4.11,4.12,252.82,0.00,0.00,0.47,
5551,16.41,4.07,4.10,4.11,4.12,279.26,0.00,0.00,0.48,
5617,16.41,4.07,4.10,4.11,4.12,252.82,0.00,0.00,0.47,
5685,16.41,4.07,4.10,4.11,4.12,279.26,0.00,0.00,0.48,
5751,16.41,4.07,4.10,4.11,4.12,266.04,0.00,0.00,0.47,
